,Id,Nickname,FPPG,Salary,Injury Indicator,Batting Order,Position,Mscore,Score
134,59436-12434,Lorenzo Cain,8.692000122,2700,nan,1.0,OF,10.0,65.190000915
135,59436-16952,Francisco Lindor,7.557499695,2700,nan,1.0,SS,10.0,56.681247712499996
136,59436-12919,Jose Iglesias,7.588371809,2700,nan,1.0,SS,12.0,68.295346281
137,59436-113309,Josh Rojas,8.693022972,2700,nan,1.0,2B,10.0,65.19767228999999
138,59436-82620,Nick Solak,10.33469375,2700,nan,1.0,OF,11.0,85.26122343749999
139,59436-68586,Dansby Swanson,8.904255318999999,2700,nan,1.0,SS,14.0,93.49468084949999
140,59436-68588,Gleyber Torres,8.921052632,2700,nan,1.0,2B,13.0,86.98026316200001
141,59436-79170,Willie Calhoun,8.783870574,2700,nan,1.0,OF,11.0,72.4669322355
143,59436-38321,Joey Gallo,9.580850803999999,2700,nan,1.0,OF,11.0,79.04201913299998
144,59436-13792,Kike Hernandez,9.466666327999999,2700,nan,1.0,OF,15.0,106.49999618999999
146,59436-13909,Randal Grichuk,10.06521739,2700,nan,1.0,OF,13.0,98.13586955250001
147,59436-81506,Jordan Luplow,8.094118006,2700,nan,1.0,OF,14.0,84.988239063
148,59436-12113,Josh Donaldson,9.27499983,2700,nan,1.0,3B,10.0,69.56249872500001
149,59436-16948,Kolten Wong,9.251428223,2600,nan,1.0,2B,10.0,69.38571167250001
150,59436-21074,Michael A. Taylor,7.887804729,2600,nan,1.0,OF,12.0,70.990242561
151,59436-12928,Eric Hosmer,9.85,2600,nan,1.0,C/1B,11.0,81.26249999999999
152,59436-13102,Freddy Galvis,9.016666957,2600,nan,1.0,2B,10.0,67.62500217750001
153,59436-80838,Luke Voit,6.481818458999999,2600,nan,1.0,C/1B,13.0,63.19772997524999
154,59436-13430,Jonathan Villar,6.936842266,2600,nan,1.0,2B,10.0,52.026316995
155,59436-38040,Eddie Rosario,8.162790698,2600,nan,1.0,OF,14.0,85.709302329
156,59436-79120,Yandy Diaz,7.431110975,2600,nan,1.0,3B,11.0,61.30666554375
157,59436-79156,David Fletcher,7.169767157999999,2600,nan,1.0,2B,12.0,64.52790442199999
159,59436-6029,Jed Lowrie,8.647825822,2600,nan,1.0,2B,14.0,90.802171131
160,59436-108450,Tommy Edman,9.225532045,2600,nan,1.0,OF,10.0,69.1914903375
161,59436-81924,Niko Goodrum,8.782051282000001,2500,nan,1.0,2B,10.0,65.86538461500001
163,59436-16945,Gary Sanchez,7.946875095,2500,nan,1.0,C/1B,13.0,77.48203217625
164,59436-23107,Jorge Soler,7.462221951,2500,nan,1.0,OF,12.0,67.159997559
166,59436-16981,Yan Gomes,8.296551935,2500,nan,1.0,C/1B,12.0,74.668967415
168,59436-82611,Akil Baddoo,9.085293938,2500,nan,1.0,OF,10.0,68.13970453499999
172,59436-68495,Andrew Benintendi,9.064286005,2500,nan,1.0,OF,12.0,81.578574045
175,59436-5118,Miguel Cabrera,7.374193745,2500,nan,1.0,C/1B,10.0,55.3064530875
179,59436-60635,Raimel Tapia,9.432608562999999,2500,nan,1.0,OF,9.0,63.670107800249994
181,59436-109803,Austin Nola,7.35000017,2500,nan,1.0,C/1B,11.0,60.6375014025
182,59436-79082,Ryan Mountcastle,7.422222222,2500,nan,1.0,C/1B,10.0,55.666666664999994
183,59436-83182,Eric Haase,9.31111145,2500,nan,1.0,C/1B,10.0,69.833335875
186,59436-79151,Taylor Ward,8.0,2500,nan,1.0,3B,12.0,72.0
192,59436-13858,Christian Vazquez,8.353488656,2500,nan,1.0,C/1B,15.0,93.97674737999999
194,59436-116450,Seth Brown,8.013888889,2500,nan,1.0,C/1B,14.0,84.1458333345
195,59436-38952,Alex Dickerson,6.299999839,2400,nan,1.0,OF,13.0,61.42499843024999
196,59436-16947,Jonathan Schoop,6.431818182000001,2400,nan,1.0,2B,10.0,48.238636365000005
197,59436-82563,Garrett Hampson,10.09111125,2400,nan,1.0,2B,9.0,68.1150009375
200,59436-80847,Mike Tauchman,6.848484847999999,2400,nan,1.0,OF,13.0,66.772727268
201,59436-52178,Maikel Franco,7.338636225,2400,nan,1.0,3B,10.0,55.03977168749999
202,59436-68589,Amed Rosario,7.727500152999999,2400,nan,1.0,SS,14.0,81.1387516065
203,59436-82977,Isiah Kiner-Falefa,10.42448955,2400,nan,1.0,3B,11.0,86.0020387875
205,59436-5181,Yadier Molina,10.265625,2400,nan,1.0,C/1B,10.0,76.9921875
206,59436-13487,Tommy Pham,6.733333332999999,2400,nan,1.0,OF,11.0,55.54999999725
207,59436-38112,Gio Urshela,8.612195271000001,2400,nan,1.0,3B,13.0,83.96890389225001
209,59436-85249,Bobby Dalbec,7.710256723,2400,nan,1.0,C/1B,15.0,86.74038813374999
210,59436-79113,Francisco Mejia,8.157692542000001,2400,nan,1.0,C/1B,11.0,67.30096347150001
211,59436-85285,Nate Lowe,10.11020396,2400,nan,1.0,C/1B,11.0,83.40918266999999
214,59436-79234,Kyle Lewis,8.165517347,2400,nan,1.0,OF,11.0,67.36551811275001
215,59436-79249,Harrison Bader,8.731818459,2400,DTD,1.0,OF,10.0,65.48863844249999
