Player ID + Player Name,Id,Position_new,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position,Position,Mscore
59367-79127:Derek Fisher,59367-79127,OF,Derek,Derek Fisher,Fisher,6.46875,16,2000,SD@MIL,MIL,SD,IL,Hamstring,,,,OF/UTIL,OF,10
59367-79174:Jacob Nottingham,59367-79174,C,Jacob,Jacob Nottingham,Nottingham,7.487500191,8,2000,SEA@OAK,SEA,OAK,,,,,1,C/1B/UTIL,C/1B,16
59367-79176:JT Riddle,59367-79176,OF,JT,JT Riddle,Riddle,2.299999952,4,2000,BAL@MIN,MIN,BAL,,,,,,OF/UTIL,OF,11
59367-79190:Ben Rortvedt,59367-79190,C,Ben,Ben Rortvedt,Rortvedt,2.600000064,12,2000,BAL@MIN,MIN,BAL,,,,,,C/1B/UTIL,C/1B,11
59367-53593:Patrick Kivlehan,59367-53593,OF,Patrick,Patrick Kivlehan,Kivlehan,5.720000076,5,2000,SD@MIL,SD,MIL,,,,,,OF/UTIL,OF,12
59367-38252:Stephen Piscotty,59367-38252,OF,Stephen,Stephen Piscotty,Piscotty,5.772222307,36,2000,SEA@OAK,OAK,SEA,,,,,,OF/UTIL,OF,14
59367-38276:Albert Almora Jr.,59367-38276,OF,Albert,Albert Almora Jr.,Almora Jr.,0.45999999,20,2000,COL@NYM,NYM,COL,IL,Shoulder,,,,OF/UTIL,OF,9
59367-79240:Aramis Garcia,59367-79240,C,Aramis,Aramis Garcia,Garcia,4.127777947,18,2000,SEA@OAK,OAK,SEA,,,,,,C/1B/UTIL,C/1B,14
59367-118189:Ali Sanchez,59367-118189,C,Ali,Ali Sanchez,Sanchez,6,1,2000,STL@CWS,STL,CWS,,,,,,C/1B/UTIL,C/1B,14
59367-101811:Sam Hilliard,59367-101811,OF,Sam,Sam Hilliard,Hilliard,3.759999847,20,2000,COL@NYM,COL,NYM,,,,,,OF/UTIL,OF,8
59367-84405:John Andreoli,59367-84405,OF,John,John Andreoli,Andreoli,2.199999946,7,2000,SD@MIL,SD,MIL,,,,,,OF/UTIL,OF,12
59367-118204:Ryan McKenna,59367-118204,OF,Ryan,Ryan McKenna,McKenna,2.821739197,23,2000,BAL@MIN,BAL,MIN,,,,,,OF/UTIL,OF,13
59367-101832:Skye Bolt,59367-101832,OF,Skye,Skye Bolt,Bolt,0,2,2000,SEA@OAK,OAK,SEA,,,,,,OF/UTIL,OF,14
59367-101835:Austin Allen,59367-101835,C,Austin,Austin Allen,Allen,9.350000381,2,2000,SEA@OAK,OAK,SEA,,,,,,C/1B/UTIL,C/1B,14
59367-118222:Mark Mathias,59367-118222,2B,Mark,Mark Mathias,Mathias,4.087500095,16,2000,SD@MIL,MIL,SD,IL,Shoulder,,,,2B/UTIL,2B,10
59367-118227:Jorge Ona,59367-118227,OF,Jorge,Jorge Ona,Ona,9.319999695,5,2000,SD@MIL,SD,MIL,IL,Elbow,,,,OF/UTIL,OF,12
59367-101844:Lane Thomas,59367-101844,OF,Lane,Lane Thomas,Thomas,3.558333397,12,2000,STL@CWS,STL,CWS,,,,,,OF/UTIL,OF,14
59367-101850:Ramon Urias,59367-101850,2B,Ramon,Ramon Urias,Urias,4.549999873,24,2000,BAL@MIN,BAL,MIN,,,,,,2B/UTIL,2B,13
59367-101910:Connor Joe,59367-101910,OF,Connor,Connor Joe,Joe,5.126666768,15,2000,COL@NYM,COL,NYM,,,,,,OF/UTIL,OF,8
59367-95776:Pablo Reyes,59367-95776,OF,Pablo,Pablo Reyes,Reyes,3.238888847,18,2000,SD@MIL,MIL,SD,,,,,,OF/UTIL,OF,10
59367-13892:Hernan Perez,59367-13892,3B/OF,Hernan,Hernan Perez,Perez,1.219999981,10,2000,SD@MIL,MIL,SD,,,,,,3B/OF/UTIL,3B,10
59367-80457:Adam Engel,59367-80457,OF,Adam,Adam Engel,Engel,6.227777693,36,2000,STL@CWS,CWS,STL,IL,Hamstring,,,,OF/UTIL,OF,12
59367-72264:Max Moroff,59367-72264,SS,Max,Max Moroff,Moroff,0,4,2000,STL@CWS,STL,CWS,,,,,,SS/UTIL,SS,14
59367-119368:Ryan Jeffers,59367-119368,C,Ryan,Ryan Jeffers,Jeffers,3.645454407,11,2000,BAL@MIN,MIN,BAL,,,,,,C/1B/UTIL,C/1B,11
59367-150096:Ivan Castillo,59367-150096,2B,Ivan,Ivan Castillo,Castillo,3.166666667,3,2000,SD@MIL,SD,MIL,,,,,,2B/UTIL,2B,12
59367-119412:Owen Miller,59367-119412,SS,Owen,Owen Miller,Miller,0,1,2000,CLE@DET,CLE,DET,,,,,1,SS/UTIL,SS,14
59367-82551:Shed Long Jr.,59367-82551,2B,Shed,Shed Long Jr.,Long Jr.,6.544117647,34,2000,SEA@OAK,SEA,OAK,IL,Lower leg,,,,2B/UTIL,2B,16
59367-135801:Jake Hager,59367-135801,1B,Jake,Jake Hager,Hager,1.239999962,5,2000,COL@NYM,NYM,COL,,,,,,C/1B/UTIL,C/1B,9
59367-82556:Taylor Trammell,59367-82556,OF,Taylor,Taylor Trammell,Trammell,7.6259257,27,2000,SEA@OAK,SEA,OAK,,,,,,OF/UTIL,OF,16
59367-118398:Vimael Machin,59367-118398,SS,Vimael,Vimael Machin,Machin,1.744444423,9,2000,SEA@OAK,OAK,SEA,,,,,,SS/UTIL,SS,14
59367-52878:Billy McKinney,59367-52878,OF,Billy,Billy McKinney,McKinney,4.395000076,40,2000,SD@MIL,MIL,SD,,,,,,OF/UTIL,OF,10
59367-82585:Khalil Lee,59367-82585,OF,Khalil,Khalil Lee,Lee,2.116666635,6,2000,COL@NYM,NYM,COL,,,,,1,OF/UTIL,OF,9
59367-82596:Jake Rogers,59367-82596,C,Jake,Jake Rogers,Rogers,7.128571647,7,2000,CLE@DET,DET,CLE,,,,,,C/1B/UTIL,C/1B,15
59367-82605:Keston Hiura,59367-82605,1B/2B,Keston,Keston Hiura,Hiura,5.46538485,26,2000,SD@MIL,MIL,SD,,,,,,C/1B/2B/UTIL,2B,10
59367-21172:Brandon Drury,59367-21172,3B,Brandon,Brandon Drury,Drury,1.5,2,2000,COL@NYM,NYM,COL,,,,,,3B/UTIL,3B,9
59367-114357:Brian O'Grady,59367-114357,C,Brian,Brian O'Grady,O'Grady,3.981818112,11,2000,SD@MIL,SD,MIL,,,,,,C/1B/UTIL,C/1B,12
59367-82612:Brent Rooker,59367-82612,OF,Brent,Brent Rooker,Rooker,4.275000095,8,2000,BAL@MIN,MIN,BAL,,,,,,OF/UTIL,OF,11
59367-82617:Andres Gimenez,59367-82617,2B/SS,Andres,Andres Gimenez,Gimenez,5.534482759,29,2000,CLE@DET,CLE,DET,,,,,,2B/SS/UTIL,2B,14
59367-82616:Luis Guillorme,59367-82616,SS,Luis,Luis Guillorme,Guillorme,2.814285823,14,2000,COL@NYM,NYM,COL,IL,Oblique,,,,SS/UTIL,SS,9
59367-17096:Wilfredo Tovar,59367-17096,SS,Wilfredo,Wilfredo Tovar,Tovar,4.166666667,3,2000,COL@NYM,NYM,COL,,,,,,SS/UTIL,SS,9
59367-82637:Evan White,59367-82637,1B,Evan,Evan White,White,4.903333537,30,2000,SEA@OAK,SEA,OAK,IL,Hip,,,,C/1B/UTIL,C/1B,16
59367-82646:Justin Williams,59367-82646,OF,Justin,Justin Williams,Williams,4.332558211,43,2000,STL@CWS,STL,CWS,,,,,1,OF/UTIL,OF,14
59367-82661:Daniel Johnson,59367-82661,OF,Daniel,Daniel Johnson,Johnson,0,2,2000,CLE@DET,CLE,DET,,,,,,OF/UTIL,OF,14
59367-112379:Tim Lopes,59367-112379,OF,Tim,Tim Lopes,Lopes,6.819565483,46,2000,SD@MIL,MIL,SD,IL,Oblique,,,,OF/UTIL,OF,10
59367-52995:Luke Maile,59367-52995,C,Luke,Luke Maile,Maile,3.837500095,8,2000,SD@MIL,MIL,SD,,,,,,C/1B/UTIL,C/1B,10
59367-84742:Willians Astudillo,59367-84742,C,Willians,Willians Astudillo,Astudillo,5.732257966,31,2000,BAL@MIN,MIN,BAL,,,,,,C/1B/UTIL,C/1B,11
59367-53007:Daniel Robertson,59367-53007,3B,Daniel,Daniel Robertson,Robertson,2.633333297,21,2000,SD@MIL,MIL,SD,,,,,,3B/UTIL,3B,10
59367-5904:Chris Davis,59367-5904,1B,Chris,Chris Davis,Davis,3.068749905,16,2000,BAL@MIN,BAL,MIN,IL,Hip,,,,C/1B/UTIL,C/1B,13
59367-13098:Rene Rivera,59367-13098,C,Rene,Rene Rivera,Rivera,3.028571538,7,2000,CLE@DET,CLE,DET,,,,,,C/1B/UTIL,C/1B,14
59367-82734:Luis Robert,59367-82734,OF,Luis,Luis Robert,Robert,9.607999878,25,2000,STL@CWS,CWS,STL,IL,Hip,,,,OF/UTIL,OF,12
59367-54080:Austin Dean,59367-54080,OF,Austin,Austin Dean,Dean,4.738889058,18,2000,STL@CWS,STL,CWS,,,,,,OF/UTIL,OF,14
59367-68470:JaCoby Jones,59367-68470,OF,JaCoby,JaCoby Jones,Jones,4.508333418,36,2000,CLE@DET,DET,CLE,,,,,,OF/UTIL,OF,15
59367-68492:Chance Sisco,59367-68492,C,Chance,Chance Sisco,Sisco,4.068421213,19,2000,BAL@MIN,BAL,MIN,,,,,,C/1B/UTIL,C/1B,13
59367-13203:Eric Campbell,59367-13203,1B,Eric,Eric Campbell,Campbell,3,1,2000,SEA@OAK,SEA,OAK,,,,,,C/1B/UTIL,C/1B,16
59367-79776:Dom Nunez,59367-79776,C,Dom,Dom Nunez,Nunez,8.34375,32,2000,COL@NYM,COL,NYM,,,,,,C/1B/UTIL,C/1B,8
59367-79785:Jose Marmolejos,59367-79785,1B/OF,Jose,Jose Marmolejos,Marmolejos,5.325806649,31,2000,SEA@OAK,SEA,OAK,,,,,,C/1B/OF/UTIL,OF,16
59367-102320:Luis Gonzalez,59367-102320,OF,Luis,Luis Gonzalez,Gonzalez,0,1,2000,STL@CWS,CWS,STL,,,,,,OF/UTIL,OF,12
59367-52157:Tom Murphy,59367-52157,C,Tom,Tom Murphy,Murphy,5.407407407,27,2000,SEA@OAK,SEA,OAK,,,,,1,C/1B/UTIL,C/1B,16
59367-80836:Tzu-Wei Lin,59367-80836,SS,Tzu-Wei,Tzu-Wei Lin,Lin,0,1,2000,BAL@MIN,MIN,BAL,IL,Undisclosed,,,,SS/UTIL,SS,11
59367-52193:Nick Williams,59367-52193,OF,Nick,Nick Williams,Williams,3.849999905,4,2000,STL@CWS,CWS,STL,,,,,,OF/UTIL,OF,12
59367-68593:Jorge Mateo,59367-68593,2B/OF,Jorge,Jorge Mateo,Mateo,4.248148035,27,2000,SD@MIL,SD,MIL,,,,,,2B/OF/UTIL,2B,12
